customer_id,account_number,first_name,last_name,email,phone,aadhaar,pan,date_of_birth,address,city,state,pin_code,country,occupation,annual_income,marital_status,education,credit_score,account_balance,credit_default,housing_loan,personal_loan,kyc_status,account_type,account_opened_date,last_transaction_date
IND000032,1111088881,Anjali,Mehta,anjali.mehta235@gmail.com,+919896089430,1339 5415 1659,YYFPQ8245I,1993-01-05,"80/84
Vyas Zila",Chennai,Karnataka,713762,India,Contractor,3956468,Widowed,10th,790,315359.11,no,no,yes,VERIFIED,CURRENT,2020-08-20,2026-01-26
IND000033,9354542654,Rohan,Rao,rohan.rao834@gmail.com,+919362646960,1601 8451 2442,KIKDY7622Q,2005-09-06,"82/449, Sekhon Ganj",Ahmedabad,Maharashtra,789606,India,Lobbyist,4851604,Widowed,Post Graduate,577,146961.67,no,no,no,VERIFIED,SAVINGS,2019-08-08,2026-02-02
IND000034,9279291478,Vikram,Joshi,vikram.joshi449@gmail.com,+919998961044,8941 2989 1472,UTZHW3594J,1979-07-14,"H.No. 01
Thakkar Marg",Bangalore,Uttar Pradesh,114338,India,Health and safety inspector,4932620,Widowed,10th,665,991870.0,yes,no,yes,VERIFIED,CURRENT,2016-11-19,2026-01-21
IND000035,6469318275,Anil,Rao,anil.rao855@gmail.com,+919072319898,8736 4993 8483,REMGT9327X,1967-11-02,"42/786, Agrawal Circle",Chennai,Karnataka,173201,India,Clinical research associate,2617331,Widowed,Graduate,809,230531.3,yes,no,no,PENDING,SAVINGS,2017-06-01,2026-01-28
IND000036,6777263354,Pooja,Joshi,pooja.joshi566@gmail.com,+919334014365,7180 8460 6272,GWHSM4826Y,1982-04-07,"H.No. 98, Kale Street",Ahmedabad,West Bengal,145767,India,Conference centre manager,2969056,Widowed,Post Graduate,747,987834.7,yes,no,yes,VERIFIED,SALARY,2016-11-05,2026-02-04
IND000037,2891100776,Neha,Gupta,neha.gupta539@gmail.com,+918962491159,1251 3361 7717,UECPZ5342K,1969-12-14,"H.No. 33, Goel Zila",Delhi,West Bengal,781403,India,"Surveyor, minerals",973733,Divorced,Professional,744,951846.57,no,yes,yes,VERIFIED,SALARY,2023-01-19,2026-01-28
IND000038,5283911723,Rajesh,Malhotra,rajesh.malhotra765@gmail.com,+917388176285,8110 2612 2646,OFWJA1753K,2008-02-19,"260, Shan Street",Chennai,Maharashtra,407618,India,Learning mentor,3307008,Divorced,Post Graduate,624,206407.3,no,yes,yes,VERIFIED,SAVINGS,2023-02-21,2026-02-02
IND000039,6329323383,Neha,Agarwal,neha.agarwal935@gmail.com,+919504640817,3344 4804 8555,UIOIV1153Z,1963-04-18,"16/073, Taneja Ganj",Kolkata,Rajasthan,401603,India,Psychiatrist,4885197,Married,10th,776,942497.42,no,no,no,PENDING,CURRENT,2022-01-31,2026-02-04
IND000040,1458072318,Sneha,Verma,sneha.verma391@gmail.com,+919456389272,6881 5847 5837,AVMIA1803T,2000-12-22,"036, Dewan Path",Ahmedabad,Rajasthan,973294,India,Building control surveyor,2700770,Married,Professional,730,179954.77,yes,no,yes,VERIFIED,SALARY,2020-11-19,2026-02-07
IND000041,8682023540,Rajesh,Sharma,rajesh.sharma35@gmail.com,+919489250532,6977 3153 2476,JKXNF4289E,1988-10-16,"85/014
Mannan Street",Chennai,Uttar Pradesh,483629,India,Geochemist,4753112,Divorced,12th,681,909751.4,no,no,no,VERIFIED,CURRENT,2016-10-14,2026-01-26
IND000042,9503787171,Priya,Kumar,priya.kumar991@gmail.com,+919393639475,6992 2479 7464,AIRDO7038V,1985-09-25,"H.No. 56
Kumer",Hyderabad,Tamil Nadu,712955,India,Commercial art gallery manager,3496273,Divorced,10th,895,195513.0,yes,no,yes,VERIFIED,SALARY,2022-09-09,2026-02-17
IND000043,8083429496,Deepika,Iyer,deepika.iyer120@gmail.com,+917600337712,1742 1609 5986,PDDHR3222M,1958-01-27,"H.No. 608
Sankar Circle",Chennai,Rajasthan,489033,India,"Engineer, chemical",4831463,Widowed,Professional,629,879684.47,yes,no,no,VERIFIED,SAVINGS,2022-05-02,2026-02-10
IND000044,7199283151,Kavita,Gupta,kavita.gupta974@gmail.com,+918014096062,6942 2627 7018,RULBM5520G,1949-11-25,"51/48
Sama Road",Hyderabad,Delhi,989227,India,Osteopath,4114445,Single,12th,878,621467.56,yes,yes,no,VERIFIED,SAVINGS,2021-09-07,2026-02-09
IND000045,4735313433,Sanjay,Mehta,sanjay.mehta337@gmail.com,+917633740357,1046 5542 3370,ERIZF2801V,1992-08-01,"23/66
Randhawa Street",Hyderabad,Maharashtra,238205,India,"Teacher, adult education",424657,Divorced,12th,851,289960.04,yes,no,yes,VERIFIED,SALARY,2021-04-04,2026-02-09
IND000046,4202607993,Rohan,Joshi,rohan.joshi488@gmail.com,+918925327382,6931 9408 2786,OQHTB9543J,1982-06-05,"H.No. 43, Srivastava Marg",Delhi,Rajasthan,774591,India,TEFL teacher,561310,Single,Post Graduate,755,397587.3,yes,no,no,VERIFIED,SAVINGS,2021-08-14,2026-02-12
IND000047,1282103057,Anjali,Mehta,anjali.mehta282@gmail.com,+919681423225,9984 6327 7240,TQJOQ8048D,1975-03-15,"38/721
Kurian Road",Bangalore,Delhi,994217,India,Water quality scientist,4924935,Married,Post Graduate,781,882495.57,no,no,no,PENDING,CURRENT,2021-11-02,2026-01-25
IND000048,7127904756,Kavita,Patel,kavita.patel682@gmail.com,+918094743340,7132 3500 8770,CCCCN2582X,2000-10-31,"43/320, Das Nagar",Pune,Gujarat,951201,India,Public relations officer,1391487,Single,Professional,837,539767.55,yes,no,no,PENDING,SALARY,2017-05-17,2026-02-12
IND000049,6636925105,Rahul,Reddy,rahul.reddy107@gmail.com,+919482141132,9313 4485 3535,VPHDL7022D,1973-05-04,"67/632, Warrior Nagar",Lucknow,Tamil Nadu,701987,India,Clinical biochemist,2197159,Widowed,Professional,868,594251.94,yes,no,yes,VERIFIED,CURRENT,2023-05-15,2026-01-31
IND000050,9252940807,Kavita,Desai,kavita.desai360@gmail.com,+917026224160,3972 3347 7566,CEXUA2503X,1957-02-08,"H.No. 831
Bhavsar Chowk",Chennai,Uttar Pradesh,325583,India,"Psychologist, forensic",3455747,Widowed,Post Graduate,724,115279.74,no,no,yes,VERIFIED,SAVINGS,2025-03-04,2026-02-17
IND000051,9803662851,Amit,Desai,amit.desai84@gmail.com,+918168672809,8259 7947 8957,TONIG9394D,1985-08-29,"98
Thakur Marg",Lucknow,Gujarat,550797,India,Sports therapist,1230210,Divorced,Professional,799,503280.81,no,yes,yes,PENDING,SALARY,2023-09-21,2026-01-28
IND000052,6392415228,Rahul,Sharma,rahul.sharma336@gmail.com,+917515328854,1126 9149 8055,FEMRW4770Q,1995-09-29,"43
Sinha Road",Hyderabad,Uttar Pradesh,973835,India,"Scientist, research (life sciences)",3270969,Single,Post Graduate,571,408030.58,no,yes,no,PENDING,SALARY,2024-05-19,2026-02-01
IND000053,2243458354,Rohan,Rao,rohan.rao415@gmail.com,+917089578218,6321 3815 8538,WLCND4986N,1963-10-29,"H.No. 434
Dutta Path",Kolkata,West Bengal,649414,India,"Sound technician, broadcasting/film/video",959739,Widowed,Graduate,723,182650.66,yes,yes,yes,VERIFIED,CURRENT,2017-07-04,2026-01-27
IND000054,2014766981,Anjali,Rao,anjali.rao150@gmail.com,+918099375147,4232 3842 3504,YYUCF9095O,1955-05-27,"23, Johal Zila",Bangalore,Rajasthan,814220,India,Orthoptist,3011267,Divorced,12th,775,21700.57,no,no,no,VERIFIED,CURRENT,2021-10-07,2026-02-16
IND000055,7278136169,Arjun,Patel,arjun.patel39@gmail.com,+917244340918,7041 5703 2257,UCTTQ7299O,1976-11-04,"H.No. 366
Sarin",Chennai,Uttar Pradesh,930281,India,Advertising account planner,644123,Widowed,Professional,883,147651.44,no,yes,yes,PENDING,SAVINGS,2025-12-06,2026-02-08
IND000056,9952125442,Sanjay,Malhotra,sanjay.malhotra662@gmail.com,+917741134891,1641 5059 8172,OQQTF6962L,1977-08-06,"H.No. 46, Luthra Marg",Pune,Tamil Nadu,506235,India,Sports coach,3729006,Divorced,Professional,576,778688.28,no,yes,no,VERIFIED,SALARY,2019-11-21,2026-02-13
IND000057,5940815822,Rajesh,Verma,rajesh.verma84@gmail.com,+919502847163,3317 6731 6082,UWVME2388J,1960-01-26,"70
Ganguly Marg",Chennai,Uttar Pradesh,494976,India,Ophthalmologist,3055461,Married,Professional,597,628326.06,no,no,yes,VERIFIED,CURRENT,2018-12-11,2026-02-12
IND000058,3088517710,Amit,Singh,amit.singh232@gmail.com,+917590838716,3538 2264 5846,ZDQYR9626B,2007-09-18,"80/69, Saini",Pune,Gujarat,903531,India,Aid worker,1399319,Widowed,12th,633,139888.27,yes,no,yes,PENDING,CURRENT,2017-07-25,2026-02-10
IND000059,9459318641,Rajesh,Rao,rajesh.rao626@gmail.com,+918223756141,8355 4833 9749,HJZZP4178L,1954-05-16,"046
Cherian Path",Hyderabad,Rajasthan,584106,India,"Programme researcher, broadcasting/film/video",2663672,Widowed,Professional,820,389593.87,yes,yes,yes,VERIFIED,SAVINGS,2021-09-11,2026-02-06
IND000060,4655730355,Rajesh,Iyer,rajesh.iyer292@gmail.com,+917360240905,3626 5469 8361,QENCH8391L,1996-12-09,"H.No. 64
Keer Zila",Pune,Maharashtra,535050,India,Advertising account executive,746751,Widowed,Professional,741,197566.98,yes,no,yes,VERIFIED,CURRENT,2025-04-24,2026-01-23
IND000061,4398953973,Anil,Patel,anil.patel141@gmail.com,+917164510971,5700 8740 3273,YWPOT1086C,1968-12-14,"10/033, Rastogi Nagar",Pune,Maharashtra,368355,India,"Designer, ceramics/pottery",2109043,Married,Professional,861,504160.08,yes,no,yes,VERIFIED,SAVINGS,2020-03-12,2026-01-27
IND000062,7969918312,Rahul,Singh,rahul.singh65@gmail.com,+917476131010,9189 9782 1269,UQSHW3352J,1977-05-13,"37/45, Raman Street",Kolkata,West Bengal,101640,India,Training and development officer,3259635,Married,Professional,763,146679.61,yes,no,yes,VERIFIED,CURRENT,2018-01-31,2026-01-28
IND000063,8025152555,Deepika,Iyer,deepika.iyer383@gmail.com,+918089419573,1266 6850 2106,LHXVU2698Y,1966-04-21,"04/96, Sehgal Marg",Mumbai,Gujarat,239890,India,"Engineer, civil (contracting)",671914,Divorced,Professional,723,804184.31,yes,no,no,VERIFIED,SAVINGS,2017-06-06,2026-02-18
IND000064,5453811475,Priya,Rao,priya.rao207@gmail.com,+917188146518,4268 1686 6170,JQMRP5150B,1992-02-19,"H.No. 491, Srinivas",Ahmedabad,Telangana,400009,India,Architectural technologist,3294516,Single,Graduate,689,80698.76,no,no,no,PENDING,CURRENT,2022-01-16,2026-02-15
IND000065,8267378816,Anjali,Kumar,anjali.kumar377@gmail.com,+919230272804,5369 2353 7955,CNTFR5813K,1974-04-16,"H.No. 850
Tata Marg",Ahmedabad,Delhi,183958,India,Recruitment consultant,3050791,Divorced,Graduate,778,582752.71,no,yes,no,VERIFIED,CURRENT,2017-12-06,2026-02-11
IND000066,7163022531,Rahul,Rao,rahul.rao655@gmail.com,+917246351029,2229 7655 6952,QZXVF1510E,1969-10-14,"26/284
Swamy",Pune,Rajasthan,136489,India,Solicitor,1358894,Single,12th,880,334644.9,no,yes,yes,PENDING,CURRENT,2024-05-12,2026-02-12
IND000067,3464975279,Anjali,Iyer,anjali.iyer543@gmail.com,+918576038028,7521 6150 5566,HDAXF9176Q,1974-10-12,"H.No. 31
Wadhwa Road",Delhi,West Bengal,688956,India,"Production designer, theatre/television/film",1287850,Divorced,Graduate,778,175298.95,no,no,yes,VERIFIED,SAVINGS,2020-04-14,2026-02-12
IND000068,8358867651,Deepika,Patel,deepika.patel90@gmail.com,+919928863857,6236 6692 2063,RRJJF3852Z,1983-12-01,"H.No. 07
Chand Path",Ahmedabad,Gujarat,633469,India,Ranger/warden,2181075,Single,12th,621,198572.99,no,yes,no,VERIFIED,CURRENT,2019-09-30,2026-02-07
IND000069,1370292681,Sanjay,Joshi,sanjay.joshi317@gmail.com,+918710084067,8842 9612 7730,YNSCE6194U,1999-06-07,"H.No. 49
Mall Road",Bangalore,Delhi,571832,India,Administrator,4207692,Divorced,12th,832,621783.63,yes,yes,no,VERIFIED,SAVINGS,2024-12-04,2026-01-30
IND000070,1707196784,Arjun,Kumar,arjun.kumar331@gmail.com,+917968387506,6669 9501 5653,CIGUR5496E,1950-12-18,"67/837, Kapur Chowk",Chennai,Tamil Nadu,744274,India,Adult guidance worker,4775138,Single,Professional,878,127067.7,yes,yes,no,VERIFIED,SAVINGS,2017-09-20,2026-02-04
IND000071,7752277876,Priya,Sharma,priya.sharma633@gmail.com,+919744446292,1496 9159 9938,JUJPH7653J,1960-03-20,"34/957
Lanka Circle",Lucknow,Rajasthan,176517,India,Local government officer,802586,Married,Post Graduate,762,458463.69,yes,no,yes,VERIFIED,SALARY,2023-05-17,2026-02-16
IND000072,9484167278,Anjali,Rao,anjali.rao134@gmail.com,+918591458030,9437 2739 6228,HODIO5061E,1967-08-25,"74/443
Sen Zila",Pune,Delhi,153063,India,"Engineer, automotive",2734474,Widowed,Professional,764,210683.79,yes,no,no,VERIFIED,SAVINGS,2021-07-03,2026-01-26
IND000073,6620138568,Pooja,Joshi,pooja.joshi24@gmail.com,+917386757895,7442 9281 8491,HGSLB1828J,1995-09-10,"374, Sidhu",Ahmedabad,Rajasthan,726543,India,"Scientist, water quality",4247568,Divorced,Professional,554,839530.98,no,yes,no,VERIFIED,CURRENT,2020-12-13,2026-01-25
IND000074,9809655189,Anjali,Sharma,anjali.sharma576@gmail.com,+917836038153,6939 5728 2204,MQOYR5582T,2001-10-19,"H.No. 35, Dora Street",Kolkata,Delhi,234913,India,"Administrator, education",1111023,Widowed,Graduate,723,535723.43,no,yes,yes,PENDING,SALARY,2025-03-22,2026-01-27
IND000075,2962750929,Rahul,Sharma,rahul.sharma621@gmail.com,+919214080278,3290 6373 6218,FMTXJ6511Q,1963-10-22,"H.No. 842, Behl Chowk",Mumbai,Uttar Pradesh,658198,India,"Administrator, charities/voluntary organisations",4409131,Divorced,Post Graduate,558,336775.7,yes,no,no,VERIFIED,SALARY,2025-11-26,2026-02-03
IND000076,3480920839,Pooja,Reddy,pooja.reddy739@gmail.com,+917220568746,8871 3793 9589,UXTYM3421V,1977-01-29,"52
Date Nagar",Lucknow,Telangana,133104,India,Purchasing manager,1221870,Married,10th,775,279377.11,yes,no,yes,PENDING,SALARY,2018-01-28,2026-01-24
IND000077,9857430687,Sanjay,Mehta,sanjay.mehta142@gmail.com,+919227727430,4397 6325 8837,QMKFO9734K,1972-05-28,"H.No. 902
Tak Street",Ahmedabad,Uttar Pradesh,471496,India,"Surveyor, quantity",2517630,Widowed,12th,676,242956.72,no,yes,no,VERIFIED,SALARY,2021-04-21,2026-01-25
IND000078,6656646925,Sneha,Rao,sneha.rao358@gmail.com,+919407275865,5480 5715 2996,SVRMM6654Y,1962-01-10,"69/99, Soni Ganj",Ahmedabad,Karnataka,404561,India,"Scientist, research (medical)",652879,Divorced,10th,727,920210.11,no,no,yes,VERIFIED,SALARY,2022-08-10,2026-02-11
IND000079,8285000265,Vikram,Malhotra,vikram.malhotra141@gmail.com,+917469124598,4920 4972 1831,VQHUH1860D,2006-12-17,"H.No. 96
Mane Road",Jaipur,West Bengal,446337,India,Web designer,4262811,Single,12th,552,962744.71,yes,no,no,PENDING,SALARY,2017-02-28,2026-02-19
IND000080,6674372082,Sneha,Desai,sneha.desai662@gmail.com,+917254101373,2465 4804 9767,XXBFN3880B,1995-07-03,"341, Dar Street",Chennai,West Bengal,926236,India,Early years teacher,4455581,Married,Graduate,569,-40269.47,yes,no,no,PENDING,SALARY,2025-07-11,2026-01-24
IND000081,7460544248,Arjun,Joshi,arjun.joshi280@gmail.com,+917828118650,2845 6417 3662,XOUIW4050A,1955-10-16,"79, Dhingra Chowk",Ahmedabad,Gujarat,929179,India,Amenity horticulturist,2774842,Married,12th,862,848953.83,no,no,no,VERIFIED,CURRENT,2020-01-28,2026-02-03
IND000082,5216305802,Rajesh,Patel,rajesh.patel489@gmail.com,+918389858576,5064 1111 5272,MHOYI6400J,1993-03-31,"71/349
Kala Ganj",Bangalore,Maharashtra,374258,India,Colour technologist,3316141,Married,10th,891,74136.09,no,yes,no,VERIFIED,SALARY,2025-05-26,2026-01-31
IND000083,1948540266,Priya,Nair,priya.nair981@gmail.com,+917573673552,8834 3509 8454,XTLNW9998P,1989-03-18,"H.No. 21, Butala Nagar",Chennai,Uttar Pradesh,940952,India,Information systems manager,2132169,Married,Professional,591,501781.99,no,yes,yes,VERIFIED,SALARY,2025-10-26,2026-02-04
IND000084,1643611097,Anil,Joshi,anil.joshi336@gmail.com,+919234849897,8239 2904 4365,WSPCQ8298Z,1975-01-09,"46, Krishna Road",Hyderabad,Maharashtra,575458,India,"Solicitor, Scotland",1406829,Widowed,Post Graduate,838,10623.62,no,no,yes,PENDING,CURRENT,2024-07-15,2026-02-11
IND000085,3483827971,Deepika,Sharma,deepika.sharma47@gmail.com,+918819766421,6644 2044 9866,BCPBJ7698F,1950-08-12,"59, Arya Road",Hyderabad,Karnataka,903028,India,"Chemist, analytical",3826251,Divorced,Post Graduate,779,863101.3,no,no,yes,VERIFIED,SALARY,2020-01-12,2026-02-17
IND000086,7602474923,Deepika,Gupta,deepika.gupta542@gmail.com,+917546951552,4648 1056 1372,JOVXR7948R,1985-02-03,"49/027, Sachdev Circle",Delhi,West Bengal,963355,India,Private music teacher,2226561,Married,Post Graduate,727,112877.44,yes,yes,yes,PENDING,SALARY,2020-11-13,2026-01-29
